Ref_Date,Urban Centre,Rental Rate ($)
2007/10,Grande Prairie CA,1087
2007/10,Wood Buffalo CA,2085
2007/10,Medicine Hat CA,659
2007/10,Lethbridge CA,750
2007/10,Red Deer CA,845
2007/10,Edmonton CMA,958
2007/10,Calgary CMA,1089
2007/10,ALBERTA,1011
2008/04,Grande Prairie CA,1025
2008/04,Wood Buffalo CA,2350
2008/04,Medicine Hat CA,670
2008/04,Lethbridge CA,783
2008/04,Red Deer CA,866
2008/04,Edmonton CMA,1000
2008/04,Calgary CMA,1096
2008/04,ALBERTA,1049
2008/10,Grande Prairie CA,987
2008/10,Wood Buffalo CA,2360
2008/10,Medicine Hat CA,678
2008/10,Lethbridge CA,818
2008/10,Red Deer CA,876
2008/10,Edmonton CMA,1034
2008/10,Calgary CMA,1148
2008/10,ALBERTA,1017
2009/04,Grande Prairie CA,969
2009/04,Wood Buffalo CA,2165
2009/04,Medicine Hat CA,689
2009/04,Lethbridge CA,825
2009/04,Red Deer CA,858
2009/04,Edmonton CMA,1059
2009/04,Calgary CMA,1106
2009/04,ALBERTA,1069
2009/10,Grande Prairie CA,911
2009/10,Wood Buffalo CA,2156
2009/10,Medicine Hat CA,687
2009/10,Lethbridge CA,850
2009/10,Red Deer CA,850
2009/10,Edmonton CMA,1015
2009/10,Calgary CMA,1099
2009/10,ALBERTA,1044
2010/04,Grande Prairie CA,851
2010/04,Wood Buffalo CA,2060
2010/04,Medicine Hat CA,682
2010/04,Lethbridge CA,843
2010/04,Red Deer CA,840
2010/04,Edmonton CMA,994
2010/04,Calgary CMA,1082
2010/04,ALBERTA,1023
2010/10,Grande Prairie CA,843
2010/10,Wood Buffalo CA,2210
2010/10,Medicine Hat CA,691
2010/10,Lethbridge CA,845
2010/10,Red Deer CA,817
2010/10,Edmonton CMA,1015
2010/10,Calgary CMA,1069
2010/10,ALBERTA,1036
2011/04,Grande Prairie CA,866
2011/04,Wood Buffalo CA,2152
2011/04,Medicine Hat CA,692
2011/04,Lethbridge CA,859
2011/04,Red Deer CA,820
2011/04,Edmonton CMA,1029
2011/04,Calgary CMA,1040
2011/04,ALBERTA,1029
2011/10,Grande Prairie CA,891
2011/10,Wood Buffalo CA,2049
2011/10,Medicine Hat CA,698
2011/10,Lethbridge CA,872
2011/10,Red Deer CA,916
2011/10,Edmonton CMA,1034
2011/10,Calgary CMA,1084
2011/10,ALBERTA,1044
2012/04,Grande Prairie CA,966
2012/04,Wood Buffalo CA,2031
2012/04,Medicine Hat CA,694
2012/04,Lethbridge CA,862
2012/04,Red Deer CA,843
2012/04,Edmonton CMA,1036
2012/04,Calgary CMA,1113
2012/04,ALBERTA,1055
2012/10,Grande Prairie CA,1004
2012/10,Wood Buffalo CA,2002
2012/10,Medicine Hat CA,702
2012/10,Lethbridge CA,863
2012/10,Red Deer CA,867
2012/10,Edmonton CMA,1071
2012/10,Calgary CMA,1150
2012/10,ALBERTA,1085
2013/04,Grande Prairie CA,1031
2013/04,Wood Buffalo CA,2229
2013/04,Medicine Hat CA,709
2013/04,Lethbridge CA,864
2013/04,Red Deer CA,902
2013/04,Edmonton CMA,1077
2013/04,Calgary CMA,1202
2013/04,ALBERTA,1117
2013/10,Grande Prairie CA,1124
2013/10,Wood Buffalo CA,2162
2013/10,Medicine Hat CA,727
2013/10,Lethbridge CA,863
2013/10,Red Deer CA,937
2013/10,Edmonton CMA,1141
2013/10,Calgary CMA,1224
2013/10,ALBERTA,1158
2014/04,Grande Prairie CA,1173
2014/04,Wood Buffalo CA,2061
2014/04,Medicine Hat CA,739
2014/04,Lethbridge CA,884
2014/04,Red Deer CA,956
2014/04,Edmonton CMA,1180
2014/04,Calgary CMA,1267
2014/04,ALBERTA,1190
