Month	City	Housing Projects Started
07-Jan	Calgary	800
07-Jan	Edmonton	1145
07-Jan	Red Deer	211
07-Jan	Lethbridge	71
07-Jan	Medicine Hat	59
07-Jan	Wood Buffalo	361
07-Jan	Grande Prairie	287
07-Jan	Five Cas	989
07-Jan	Seven Major Urban Centres	2887
07-Feb	Calgary	732
07-Feb	Edmonton	1106
07-Feb	Red Deer	176
07-Feb	Lethbridge	104
07-Feb	Medicine Hat	40
07-Feb	Wood Buffalo	126
07-Feb	Grande Prairie	54
07-Feb	Five Cas	500
07-Feb	Seven Major Urban Centres	2338
07-Mar	Calgary	1242
07-Mar	Edmonton	1169
07-Mar	Red Deer	106
07-Mar	Lethbridge	122
07-Mar	Medicine Hat	122
07-Mar	Wood Buffalo	344
07-Mar	Grande Prairie	118
07-Mar	Five Cas	812
07-Mar	Seven Major Urban Centres	3223
07-Apr	Calgary	1370
07-Apr	Edmonton	1695
07-Apr	Red Deer	117
07-Apr	Lethbridge	75
07-Apr	Medicine Hat	120
07-Apr	Wood Buffalo	63
07-Apr	Grande Prairie	218
07-Apr	Five Cas	593
07-Apr	Seven Major Urban Centres	3658
07-May	Calgary	1633
07-May	Edmonton	1132
07-May	Red Deer	122
07-May	Lethbridge	167
07-May	Medicine Hat	73
07-May	Wood Buffalo	199
07-May	Grande Prairie	111
07-May	Five Cas	672
07-May	Seven Major Urban Centres	3437
07-Jun	Calgary	1060
07-Jun	Edmonton	1341
07-Jun	Red Deer	141
07-Jun	Lethbridge	102
07-Jun	Medicine Hat	203
07-Jun	Wood Buffalo	156
07-Jun	Grande Prairie	90
07-Jun	Five Cas	692
07-Jun	Seven Major Urban Centres	3093
07-Jul	Calgary	1084
07-Jul	Edmonton	1241
07-Jul	Red Deer	122
07-Jul	Lethbridge	114
07-Jul	Medicine Hat	72
07-Jul	Wood Buffalo	132
07-Jul	Grande Prairie	109
07-Jul	Five Cas	549
07-Jul	Seven Major Urban Centres	2874
07-Aug	Calgary	1497
07-Aug	Edmonton	1278
07-Aug	Red Deer	80
07-Aug	Lethbridge	90
07-Aug	Medicine Hat	120
07-Aug	Wood Buffalo	123
07-Aug	Grande Prairie	165
07-Aug	Five Cas	578
07-Aug	Seven Major Urban Centres	3353
07-Sep	Calgary	1386
07-Sep	Edmonton	1978
07-Sep	Red Deer	222
07-Sep	Lethbridge	108
07-Sep	Medicine Hat	55
07-Sep	Wood Buffalo	227
07-Sep	Grande Prairie	158
07-Sep	Five Cas	770
07-Sep	Seven Major Urban Centres	4134
07-Oct	Calgary	1324
07-Oct	Edmonton	1181
07-Oct	Red Deer	61
07-Oct	Lethbridge	100
07-Oct	Medicine Hat	113
07-Oct	Wood Buffalo	76
07-Oct	Grande Prairie	76
07-Oct	Five Cas	426
07-Oct	Seven Major Urban Centres	2931
07-Nov	Calgary	776
07-Nov	Edmonton	1091
07-Nov	Red Deer	152
07-Nov	Lethbridge	73
07-Nov	Medicine Hat	70
07-Nov	Wood Buffalo	83
07-Nov	Grande Prairie	208
07-Nov	Five Cas	586
07-Nov	Seven Major Urban Centres	2453
07-Dec	Calgary	601
07-Dec	Edmonton	578
07-Dec	Red Deer	48
07-Dec	Lethbridge	79
07-Dec	Medicine Hat	52
07-Dec	Wood Buffalo	285
07-Dec	Grande Prairie	35
07-Dec	Five Cas	499
07-Dec	Seven Major Urban Centres	1678
08-Jan	Calgary	711
08-Jan	Edmonton	1098
08-Jan	Red Deer	32
08-Jan	Lethbridge	135
08-Jan	Medicine Hat	42
08-Jan	Wood Buffalo	65
08-Jan	Grande Prairie	55
08-Jan	Five Cas	329
08-Jan	Seven Major Urban Centres	2185
08-Feb	Calgary	877
08-Feb	Edmonton	692
08-Feb	Red Deer	58
08-Feb	Lethbridge	64
08-Feb	Medicine Hat	28
08-Feb	Wood Buffalo	117
08-Feb	Grande Prairie	31
08-Feb	Five Cas	298
08-Feb	Seven Major Urban Centres	1867
08-Mar	Calgary	3068
08-Mar	Edmonton	478
08-Mar	Red Deer	29
08-Mar	Lethbridge	72
08-Mar	Medicine Hat	104
08-Mar	Wood Buffalo	254
08-Mar	Grande Prairie	26
08-Mar	Five Cas	485
08-Mar	Seven Major Urban Centres	4031
08-Apr	Calgary	1096
08-Apr	Edmonton	683
08-Apr	Red Deer	27
08-Apr	Lethbridge	89
08-Apr	Medicine Hat	74
08-Apr	Wood Buffalo	55
08-Apr	Grande Prairie	10
08-Apr	Five Cas	255
