Month	City	Rental Rate
07-Oct	Grande Prairie	1087
07-Oct	Wood Buffalo	2085
07-Oct	Medicine Hat	659
07-Oct	Lethbridge	750
07-Oct	Red Deer	845
07-Oct	Edmonton	958
07-Oct	Calgary	1089
07-Oct	ALBERTA	1011
08-Apr	Grande Prairie	1025
08-Apr	Wood Buffalo	2350
08-Apr	Medicine Hat	670
08-Apr	Lethbridge	783
08-Apr	Red Deer	866
08-Apr	Edmonton	1000
08-Apr	Calgary	1096
08-Apr	ALBERTA	1049
08-Oct	Grande Prairie	987
08-Oct	Wood Buffalo	2360
08-Oct	Medicine Hat	678
08-Oct	Lethbridge	818
08-Oct	Red Deer	876
08-Oct	Edmonton	1034
08-Oct	Calgary	1148
08-Oct	ALBERTA	1017
09-Apr	Grande Prairie	969
09-Apr	Wood Buffalo	2165
09-Apr	Medicine Hat	689
09-Apr	Lethbridge	825
09-Apr	Red Deer	858
09-Apr	Edmonton	1059
09-Apr	Calgary	1106
09-Apr	ALBERTA	1069
09-Oct	Grande Prairie	911
09-Oct	Wood Buffalo	2156
09-Oct	Medicine Hat	687
09-Oct	Lethbridge	850
09-Oct	Red Deer	850
09-Oct	Edmonton	1015
09-Oct	Calgary	1099
09-Oct	ALBERTA	1044
10-Apr	Grande Prairie	851
10-Apr	Wood Buffalo	2060
10-Apr	Medicine Hat	682
10-Apr	Lethbridge	843
10-Apr	Red Deer	840
10-Apr	Edmonton	994
10-Apr	Calgary	1082
10-Apr	ALBERTA	1023
10-Oct	Grande Prairie	843
10-Oct	Wood Buffalo	2210
10-Oct	Medicine Hat	691
10-Oct	Lethbridge	845
10-Oct	Red Deer	817
10-Oct	Edmonton	1015
10-Oct	Calgary	1069
10-Oct	ALBERTA	1036
11-Apr	Grande Prairie	866
11-Apr	Wood Buffalo	2152
11-Apr	Medicine Hat	692
11-Apr	Lethbridge	859
11-Apr	Red Deer	820
11-Apr	Edmonton	1029
11-Apr	Calgary	1040
11-Apr	ALBERTA	1029
11-Oct	Grande Prairie	891
11-Oct	Wood Buffalo	2049
11-Oct	Medicine Hat	698
11-Oct	Lethbridge	872
11-Oct	Red Deer	916
11-Oct	Edmonton	1034
11-Oct	Calgary	1084
11-Oct	ALBERTA	1044
12-Apr	Grande Prairie	966
12-Apr	Wood Buffalo	2031
12-Apr	Medicine Hat	694
12-Apr	Lethbridge	862
12-Apr	Red Deer	843
12-Apr	Edmonton	1036
12-Apr	Calgary	1113
12-Apr	ALBERTA	1055
12-Oct	Grande Prairie	1004
12-Oct	Wood Buffalo	2002
12-Oct	Medicine Hat	702
12-Oct	Lethbridge	863
12-Oct	Red Deer	867
12-Oct	Edmonton	1071
12-Oct	Calgary	1150
12-Oct	ALBERTA	1085
13-Apr	Grande Prairie	1031
13-Apr	Wood Buffalo	2229
13-Apr	Medicine Hat	709
13-Apr	Lethbridge	864
13-Apr	Red Deer	902
13-Apr	Edmonton	1077
13-Apr	Calgary	1202
13-Apr	ALBERTA	1117
13-Oct	Grande Prairie	1124
13-Oct	Wood Buffalo	2162
13-Oct	Medicine Hat	727
13-Oct	Lethbridge	863
13-Oct	Red Deer	937
13-Oct	Edmonton	1141
13-Oct	Calgary	1224
13-Oct	ALBERTA	1158
14-Apr	Grande Prairie	1173
14-Apr	Wood Buffalo	2061
14-Apr	Medicine Hat	739
14-Apr	Lethbridge	884
14-Apr	Red Deer	956
14-Apr	Edmonton	1180
14-Apr	Calgary	1267
14-Apr	ALBERTA	1190
