Month	City	Rental Rate
Oct-07	Grande Prairie	1087
Oct-07	Wood Buffalo	2085
Oct-07	Medicine Hat	659
Oct-07	Lethbridge	750
Oct-07	Red Deer	845
Oct-07	Edmonton	958
Oct-07	Calgary	1089
Oct-07	ALBERTA	1011
Apr-08	Grande Prairie	1025
Apr-08	Wood Buffalo	2350
Apr-08	Medicine Hat	670
Apr-08	Lethbridge	783
Apr-08	Red Deer	866
Apr-08	Edmonton	1000
Apr-08	Calgary	1096
Apr-08	ALBERTA	1049
Oct-08	Grande Prairie	987
Oct-08	Wood Buffalo	2360
Oct-08	Medicine Hat	678
Oct-08	Lethbridge	818
Oct-08	Red Deer	876
Oct-08	Edmonton	1034
Oct-08	Calgary	1148
Oct-08	ALBERTA	1017
Apr-09	Grande Prairie	969
Apr-09	Wood Buffalo	2165
Apr-09	Medicine Hat	689
Apr-09	Lethbridge	825
Apr-09	Red Deer	858
Apr-09	Edmonton	1059
Apr-09	Calgary	1106
Apr-09	ALBERTA	1069
Oct-09	Grande Prairie	911
Oct-09	Wood Buffalo	2156
Oct-09	Medicine Hat	687
Oct-09	Lethbridge	850
Oct-09	Red Deer	850
Oct-09	Edmonton	1015
Oct-09	Calgary	1099
Oct-09	ALBERTA	1044
Apr-10	Grande Prairie	851
Apr-10	Wood Buffalo	2060
Apr-10	Medicine Hat	682
Apr-10	Lethbridge	843
Apr-10	Red Deer	840
Apr-10	Edmonton	994
Apr-10	Calgary	1082
Apr-10	ALBERTA	1023
Oct-10	Grande Prairie	843
Oct-10	Wood Buffalo	2210
Oct-10	Medicine Hat	691
Oct-10	Lethbridge	845
Oct-10	Red Deer	817
Oct-10	Edmonton	1015
Oct-10	Calgary	1069
Oct-10	ALBERTA	1036
Apr-11	Grande Prairie	866
Apr-11	Wood Buffalo	2152
Apr-11	Medicine Hat	692
Apr-11	Lethbridge	859
Apr-11	Red Deer	820
Apr-11	Edmonton	1029
Apr-11	Calgary	1040
Apr-11	ALBERTA	1029
Oct-11	Grande Prairie	891
Oct-11	Wood Buffalo	2049
Oct-11	Medicine Hat	698
Oct-11	Lethbridge	872
Oct-11	Red Deer	916
Oct-11	Edmonton	1034
Oct-11	Calgary	1084
Oct-11	ALBERTA	1044
Apr-12	Grande Prairie	966
Apr-12	Wood Buffalo	2031
Apr-12	Medicine Hat	694
Apr-12	Lethbridge	862
Apr-12	Red Deer	843
Apr-12	Edmonton	1036
Apr-12	Calgary	1113
Apr-12	ALBERTA	1055
Oct-12	Grande Prairie	1004
Oct-12	Wood Buffalo	2002
Oct-12	Medicine Hat	702
Oct-12	Lethbridge	863
Oct-12	Red Deer	867
Oct-12	Edmonton	1071
Oct-12	Calgary	1150
Oct-12	ALBERTA	1085
Apr-13	Grande Prairie	1031
Apr-13	Wood Buffalo	2229
Apr-13	Medicine Hat	709
Apr-13	Lethbridge	864
Apr-13	Red Deer	902
Apr-13	Edmonton	1077
Apr-13	Calgary	1202
Apr-13	ALBERTA	1117
Oct-13	Grande Prairie	1124
Oct-13	Wood Buffalo	2162
Oct-13	Medicine Hat	727
Oct-13	Lethbridge	863
Oct-13	Red Deer	937
Oct-13	Edmonton	1141
Oct-13	Calgary	1224
Oct-13	ALBERTA	1158
Apr-14	Grande Prairie	1173
Apr-14	Wood Buffalo	2061
Apr-14	Medicine Hat	739
Apr-14	Lethbridge	884
Apr-14	Red Deer	956
Apr-14	Edmonton	1180
Apr-14	Calgary	1267
Apr-14	ALBERTA	1190
